File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
AFW_amortization_1Faults_Fault1.xlsx,16,16,2,15,15,15,120,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,560,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,120,0 (120 diagnoses from 120 are in VBMdiags2),120,0 (120 diagnoses from 120 are in VBMdiags2),560,0 (560 diagnoses from 560 are in VBMdiags3),560,0 (560 diagnoses from 560 are in VBMdiags3),
AFW_amortization_2Faults_Fault1.xlsx,16,16,2,13,13,13,117,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,559,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,117,0 (117 diagnoses from 117 are in VBMdiags2),117,0 (117 diagnoses from 117 are in VBMdiags2),559,0 (559 diagnoses from 559 are in VBMdiags3),559,0 (559 diagnoses from 559 are in VBMdiags3),
AFW_amortization_2Faults_Fault2.xlsx,16,16,2,13,13,13,117,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,559,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,117,0 (117 diagnoses from 117 are in VBMdiags2),117,0 (117 diagnoses from 117 are in VBMdiags2),559,0 (559 diagnoses from 559 are in VBMdiags3),559,0 (559 diagnoses from 559 are in VBMdiags3),
AFW_amortization_2Faults_Fault3.xlsx,16,16,2,10,13,13,105,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,540,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,117,12 (105 diagnoses from 117 are in VBMdiags2),117,12 (105 diagnoses from 117 are in VBMdiags2),559,19 (540 diagnoses from 559 are in VBMdiags3),559,19 (540 diagnoses from 559 are in VBMdiags3),
AFW_amortization_3Faults_Fault1.xlsx,16,16,3,0,4,4,38,10,10,10,10,366,20,10,20,10,54,26 (28 diagnoses from 54 are in VBMdiags2),54,26 (28 diagnoses from 54 are in VBMdiags2),415,59 (356 diagnoses from 415 are in VBMdiags3),415,59 (356 diagnoses from 415 are in VBMdiags3),
AFW_area_2Faults_Fault1.xlsx,81,45,2,30,76,81,1965,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,64495,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,3230,1265 (1965 diagnoses from 3230 are in VBMdiags2),3240,1275 (1965 diagnoses from 3240 are in VBMdiags2),85310,20815 (64495 diagnoses from 85310 are in VBMdiags3),85320,20825 (64495 diagnoses from 85320 are in VBMdiags3),
AFW_area_2Faults_Fault2.xlsx,81,44,3,28,74,74,1863,1,1,1,1,61945,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,3219,1357 (1862 diagnoses from 3219 are in VBMdiags2),3219,1357 (1862 diagnoses from 3219 are in VBMdiags2),85290,23345 (61945 diagnoses from 85290 are in VBMdiags3),85290,23345 (61945 diagnoses from 85290 are in VBMdiags3),
AFW_area_2Faults_Fault3.xlsx,81,44,2,59,76,76,3009,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,83780,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,3230,221 (3009 diagnoses from 3230 are in VBMdiags2),3230,221 (3009 diagnoses from 3230 are in VBMdiags2),85310,1530 (83780 diagnoses from 85310 are in VBMdiags3),85310,1530 (83780 diagnoses from 85310 are in VBMdiags3),
AFW_area_3Faults_Fault1.xlsx,81,44,3,16,72,72,1268,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,46446,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,3204,1936 (1268 diagnoses from 3204 are in VBMdiags2),3204,1936 (1268 diagnoses from 3204 are in VBMdiags2),85236,38790 (46446 diagnoses from 85236 are in VBMdiags3),85236,38790 (46446 diagnoses from 85236 are in VBMdiags3),
AFW_arithmetics00_1Faults_Fault1.xlsx,8,10,1,7,8,8,28,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,56,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,28,0 (28 diagnoses from 28 are in VBMdiags2),28,0 (28 diagnoses from 28 are in VBMdiags2),56,0 (56 diagnoses from 56 are in VBMdiags3),56,0 (56 diagnoses from 56 are in VBMdiags3),
