File;Formulas;Input Cells;Output Cells;VBM number of diagnoses (size=1);VBM number of diagnoses (size=2);VBM number of diagnoses (size=3);FDM number of diagnoses (size=1);FDM number of diagnoses (size=2);FDM number of diagnoses (size=3);QDM number of diagnoses (size=1);QDM number of diagnoses (size=2);QDM number of diagnoses (size=3);VBM cumulated number of diagnoses (sizes 1, 2, 3)  ;FDM cumulated number of diagnoses (sizes 1, 2, 3)  ;QDM cumulated number of diagnoses (sizes 1, 2, 3)  ;VBM time for computing min diagnoses [ms] (diagnosis size=1, avg over 10 runs);VBM time for computing min diagnoses [ms] (diagnosis size=2, avg over 10 runs);VBM time for computing min diagnoses [ms] (diagnosis size=3, avg over 10 runs);FDM time for computing min diagnoses [ms] (diagnosis size=1, avg over 10 runs);FDM time for computing min diagnoses [ms] (diagnosis size=2, avg over 10 runs);FDM time for computing min diagnoses [ms] (diagnosis size=3, avg over 10 runs);QDM time for computing min diagnoses [ms] (diagnosis size=1, avg over 10 runs);QDM time for computing min diagnoses [ms] (diagnosis size=2, avg over 10 runs);QDM time for computing min diagnoses [ms] (diagnosis size=3, avg over 10 runs);Incorrect Output cells;Correct Output cells;Faulty cells
circuit10_10_1FAULTS_FAULTVERSION1.xlsx;33;243;3;2;115;2264;10;341;4686;10;341;4686;2381;5037;5037;641.8;7485;timeout;11.8;18.6;29;17.4;30.6;44.2;2;1;1
circuit10_10_1FAULTS_FAULTVERSION2.xlsx;33;243;3;1;68;1523;10;285;3861;10;285;3861;1592;4156;4156;621.4;4973.8;15441.4;11.2;10.8;11.8;11.8;11.4;12.8;3;0;1
circuit10_10_1FAULTS_FAULTVERSION3.xlsx;33;243;3;2;73;1215;11;407;5456;11;407;5456;1290;5874;5874;581.4;5017.8;timeout;11.8;21.6;32.2;16.8;31;35.6;1;2;1
circuit10_10_1FAULTS_FAULTVERSION4.xlsx;33;243;3;1;59;1205;10;341;4686;10;341;4686;1265;5037;5037;774.6;90791.4;timeout;11.8;19.2;28.6;17.2;30;45.8;2;1;1
circuit10_10_1FAULTS_FAULTVERSION5.xlsx;33;243;3;10;275;3816;10;285;3861;10;285;3861;4101;4156;4156;629.4;348.6;1273.6;9.6;10;11;10.4;10.6;12.2;3;0;1
circuit10_10_2FAULTS_FAULTVERSION1.xlsx;33;243;3;0;124;2596;10;285;3861;10;285;3861;2720;4156;4156;625;7368.8;timeout;12.6;13;15.8;19.4;15.2;16.6;3;0;2
circuit10_10_2FAULTS_FAULTVERSION2.xlsx;33;243;3;9;271;3916;12;327;4271;12;327;4271;4196;4610;4610;706;3426.4;33715;9.2;10.2;11.4;11.2;13;12.8;3;0;2
circuit10_10_2FAULTS_FAULTVERSION3.xlsx;32;244;12;1;32;503;1;42;793;1;42;793;536;836;836;916.8;3225.6;48697.4;9.4;10.4;18.4;9.8;13.4;25.4;1;11;2
circuit10_10_2FAULTS_FAULTVERSION4.xlsx;33;243;3;0;131;2696;10;340;4675;10;340;4675;2827;5025;5025;641.8;7874.6;timeout;13.6;20.4;30.4;16.4;29;40.6;2;1;2
circuit10_10_2FAULTS_FAULTVERSION5.xlsx;33;243;2;0;24;490;10;297;3916;10;297;3916;514;4223;4223;854.4;9219;timeout;13;14.2;16.6;17.6;16.6;18;2;0;2
circuit10_10_3FAULTS_FAULTVERSION1.xlsx;33;243;3;0;0;timeout;9;263;3630;9;263;3630;0;3902;3902;752.2;4377.2;timeout;11.4;13.2;14.4;16.8;15.4;17.8;3;0;3
circuit10_10_3FAULTS_FAULTVERSION2.xlsx;33;243;3;0;10;265;10;285;3861;10;285;3861;275;4156;4156;650.6;232757;timeout;13.4;12.8;14.4;17.8;16;17.6;3;0;3
circuit10_10_3FAULTS_FAULTVERSION3.xlsx;33;243;3;0;18;421;12;326;4270;12;326;4270;439;4608;4608;507.6;7915.6;timeout;13.4;13.8;14.4;17.6;15.4;18.2;3;0;3
circuit10_10_3FAULTS_FAULTVERSION4.xlsx;33;243;3;0;14;365;10;338;4652;10;338;4652;379;5000;5000;629.6;10825;timeout;13.6;20.8;32.6;17.8;29.8;43;2;1;3
circuit10_10_3FAULTS_FAULTVERSION5.xlsx;32;244;2;0;3;88;20;441;4795;20;441;4795;91;5256;5256;547.2;8393.8;timeout;11.4;12.6;13.8;17.4;15.2;16.6;2;0;3
circuit10_15_1FAULTS_FAULTVERSION1.xlsx;33;343;3;1;68;1503;10;285;3861;10;285;3861;1572;4156;4156;898.2;6105;21528.8;10.2;10.2;13;12.6;13.4;15.2;3;0;1
circuit10_15_1FAULTS_FAULTVERSION2.xlsx;33;343;4;10;284;3838;10;374;5221;10;374;5221;4132;5605;5605;865.6;5605.8;timeout;13.2;22.2;33.6;18.6;38.2;47.6;1;3;1
circuit10_15_1FAULTS_FAULTVERSION3.xlsx;33;343;3;1;32;496;1;266;3685;1;266;3685;529;3952;3952;890.4;5842.8;timeout;11.6;26.2;40.8;18.8;58;57.2;1;2;1
circuit10_15_1FAULTS_FAULTVERSION4.xlsx;33;343;3;10;275;3816;10;285;3861;10;285;3861;4101;4156;4156;930.2;544.6;1657.8;9.8;10.4;13.4;15.6;13.6;15.2;3;0;1
circuit10_15_2FAULTS_FAULTVERSION3.xlsx;33;343;3;1;41;738;11;306;4071;11;306;4071;780;4388;4388;1038.4;5879.6;timeout;14.6;16.2;18.2;21.2;18.6;22.2;3;0;2
circuit10_15_2FAULTS_FAULTVERSION4.xlsx;32;344;3;9;262;3647;11;295;3775;11;295;3775;3918;4081;4081;934.2;1562.8;4941.2;10;10.6;12.2;14.6;18.4;17.4;3;0;2
circuit10_15_2FAULTS_FAULTVERSION5.xlsx;33;343;3;10;295;4014;10;340;4675;10;340;4675;4319;5025;5025;898.8;5905.8;timeout;13;20.4;30.4;19.4;36;50;2;1;2
circuit10_15_3FAULTS_FAULTVERSION1.xlsx;33;343;3;0;1;31;8;251;3564;8;251;3564;32;3823;3823;769.8;6279.4;timeout;14;17;21.8;19;22.6;30.2;3;0;3
circuit10_15_3FAULTS_FAULTVERSION2.xlsx;33;343;3;0;18;475;12;327;4271;12;327;4271;493;4610;4610;890.8;22722.2;timeout;13.8;13.6;15.4;21;19.2;19.4;3;0;3
circuit10_15_3FAULTS_FAULTVERSION3.xlsx;33;343;3;0;0;timeout;10;284;3860;10;284;3860;0;4154;4154;833.8;3174.4;timeout;14.8;15.4;18.4;19.4;19.4;24.8;3;0;3
circuit10_15_3FAULTS_FAULTVERSION4.xlsx;33;343;3;0;0;timeout;9;263;3630;9;263;3630;0;3902;3902;989.4;462253.4;timeout;14.2;15;17.2;19.6;19.2;22.6;3;0;3
circuit10_15_3FAULTS_FAULTVERSION5.xlsx;33;343;3;0;0;timeout;9;273;3795;9;273;3795;0;4077;4077;866.8;5737.2;timeout;14.2;15.4;19.8;26.4;22.8;27.2;3;0;3
circuit10_2_1FAULTS_FAULTVERSION1.xlsx;33;83;3;11;340;4579;11;406;5445;11;406;5445;4930;5862;5862;459.4;5057.4;timeout;10.8;19;33.4;16.4;25.2;34.6;1;2;1
circuit10_2_1FAULTS_FAULTVERSION2.xlsx;33;83;3;11;316;4215;11;407;5456;11;407;5456;4542;5874;5874;494.6;5686.4;timeout;13.8;20;34;16.2;23.6;33.8;1;2;1
circuit10_2_1FAULTS_FAULTVERSION3.xlsx;33;83;3;9;252;3563;10;285;3861;10;285;3861;3824;4156;4156;476.8;1707.2;15188.8;8.4;11;12.8;8.4;11.8;14.8;3;0;1
circuit10_2_1FAULTS_FAULTVERSION4.xlsx;33;83;3;9;261;3725;11;306;4071;11;306;4071;3995;4388;4388;468.4;1610.8;16548.4;8.6;11;12.8;8.6;11.8;15;3;0;1
circuit10_2_1FAULTS_FAULTVERSION5.xlsx;33;83;3;1;79;1701;10;341;4686;10;341;4686;1781;5037;5037;421;3598.8;timeout;12.4;18.4;28.2;15.8;21.4;34.6;2;1;1
circuit10_2_2FAULTS_FAULTVERSION2.xlsx;33;83;3;11;323;4327;11;406;5445;11;406;5445;4661;5862;5862;462.8;5022.8;timeout;12.6;19.8;34;15;24;34.4;1;2;2
circuit10_2_2FAULTS_FAULTVERSION3.xlsx;33;83;3;0;92;2096;10;285;3861;10;285;3861;2188;4156;4156;428;4976.6;timeout;12;14.2;17.6;15.6;16.6;21.4;3;0;2
circuit10_2_2FAULTS_FAULTVERSION4.xlsx;33;83;3;0;110;2365;10;285;3861;10;285;3861;2475;4156;4156;448.4;5314;timeout;11.8;14;18;16.2;18;23.4;3;0;2
circuit10_2_2FAULTS_FAULTVERSION5.xlsx;33;83;3;0;21;541;10;297;4080;0;274;4075;562;4387;4349;441.2;7035.6;timeout;11.6;13;17.2;15.6;36.4;70.6;2;1;2
circuit10_2_3FAULTS_FAULTVERSION1.xlsx;32;84;3;0;114;2331;9;316;4322;2;239;4322;2445;4647;4563;419.8;9042;timeout;10.8;15.6;25.6;14.8;29;51.2;2;1;3
circuit10_2_3FAULTS_FAULTVERSION2.xlsx;33;83;3;2;94;1913;10;338;4652;10;338;4652;2009;5000;5000;428.8;2793;395116;8.6;12.8;20.4;9.8;14.2;28.8;2;1;3
circuit10_2_3FAULTS_FAULTVERSION3.xlsx;33;83;3;0;127;2642;9;329;4675;9;329;4675;2769;5013;5013;440.8;7627;timeout;11.2;16.2;29.4;14.4;21.6;36;2;1;3
circuit10_2_3FAULTS_FAULTVERSION4.xlsx;33;83;3;0;10;265;9;263;3630;7;239;3520;275;3902;3766;418;4105;timeout;12.4;15;19.2;14.4;18.8;28;3;0;3
circuit10_2_3FAULTS_FAULTVERSION5.xlsx;32;84;3;0;14;351;9;317;4332;9;317;4332;365;4658;4658;385.6;3168.6;timeout;11.6;17.2;30;16;21.4;35;2;1;3
circuit15_10_1FAULTS_FAULTVERSION2.xlsx;48;358;3;16;661;13010;16;871;17295;16;871;17295;13687;18182;18182;1524.6;16530.6;timeout;13.6;32.6;59;23;69.8;87.2;1;2;1
circuit15_10_1FAULTS_FAULTVERSION3.xlsx;48;358;3;14;596;12312;17;677;13131;17;677;13131;12922;13825;13825;1668.8;7562;219267.6;11.4;11.4;15.2;15.8;14.6;17.6;3;0;1
circuit15_10_1FAULTS_FAULTVERSION4.xlsx;48;358;3;2;108;2685;16;872;17296;16;872;17296;2795;18184;18184;1502;21557.2;timeout;12.6;35.8;64.2;21.8;68.2;89.2;1;2;1
circuit15_10_1FAULTS_FAULTVERSION5.xlsx;48;358;3;15;630;12559;15;735;14800;15;735;14800;13204;15550;15550;1598;19190.8;timeout;14;32.8;74;25.6;65.2;152.8;2;1;1
circuit15_10_2FAULTS_FAULTVERSION1.xlsx;48;358;3;0;223;7163;14;598;12080;14;598;12080;7386;12692;12692;1614.8;575461.6;timeout;15;18.6;26.8;21.4;25.4;38.6;3;0;2
circuit15_10_2FAULTS_FAULTVERSION2.xlsx;47;359;3;15;651;12780;15;821;16163;15;821;16163;13446;16999;16999;1480;14546.8;timeout;14;34.6;59.8;22.2;67.2;88.6;1;2;2
circuit15_10_2FAULTS_FAULTVERSION3.xlsx;47;359;3;14;614;12236;15;821;16163;15;821;16163;12864;16999;16999;1539.8;19737.6;timeout;16.6;43.6;63;21.2;67.4;86.8;1;2;2
circuit15_10_2FAULTS_FAULTVERSION4.xlsx;48;358;3;1;62;1677;15;735;14800;15;735;14800;1740;15550;15550;1509.6;20550;timeout;13.8;32.8;74.6;26;64.6;145.8;2;1;2
circuit15_10_2FAULTS_FAULTVERSION5.xlsx;48;358;3;1;48;1211;16;872;17296;16;872;17296;1260;18184;18184;1509.6;15605;1025023.8;11.4;30.4;57.2;14.8;46.8;60.8;1;2;2
circuit15_10_3FAULTS_FAULTVERSION1.xlsx;47;359;3;0;20;758;13;671;13703;13;671;13703;778;14387;14387;1026.8;9160;266715.4;11.4;29.6;73;15.2;45.4;111;2;1;3
circuit15_10_3FAULTS_FAULTVERSION2.xlsx;48;358;3;0;32;1216;15;735;14800;1;511;14800;1248;15550;15312;1532.6;23626.6;timeout;11.8;28.4;70.8;20.8;113.6;199.4;2;1;3
circuit15_10_3FAULTS_FAULTVERSION3.xlsx;48;358;3;0;0;timeout;14;598;12080;14;598;12080;0;12692;12692;1468.6;26155.4;timeout;15.2;19.8;34.6;24.6;29;49.4;3;0;3
circuit15_10_3FAULTS_FAULTVERSION5.xlsx;47;359;3;1;127;4024;14;683;13635;14;683;13635;4152;14332;14332;1420.2;14003.2;timeout;12.8;28.8;70.4;21.8;63.6;135.2;2;1;3
circuit15_2_1FAULTS_FAULTVERSION1.xlsx;48;118;3;15;643;12871;15;736;14816;15;736;14816;13529;15567;15567;1069.6;13179.2;timeout;13.2;25;52.4;19.6;38.8;93.4;2;1;1
circuit15_2_1FAULTS_FAULTVERSION2.xlsx;48;118;3;16;697;13844;16;871;17280;16;871;17280;14557;18167;18167;1054.2;13346.2;timeout;15.6;32.2;61.4;17.4;42;94.4;1;2;1
circuit15_2_1FAULTS_FAULTVERSION3.xlsx;48;118;3;15;600;12111;15;615;12216;15;615;12216;12726;12846;12846;1046.8;507.4;3852;10.2;11.6;16;12.8;23;20.6;3;0;1
circuit15_2_1FAULTS_FAULTVERSION4.xlsx;48;118;3;15;616;12216;15;736;14816;15;736;14816;12847;15567;15567;1049.2;11865.2;timeout;13.2;29.4;57.2;17;37.6;91.4;2;1;1
circuit15_2_1FAULTS_FAULTVERSION5.xlsx;48;118;3;14;610;12385;16;766;15146;16;766;15146;13009;15928;15928;1180.4;21457.4;timeout;12;20.8;46.8;17.4;39;88.8;2;1;1
circuit15_2_2FAULTS_FAULTVERSION2.xlsx;48;118;3;0;269;8220;14;703;14423;1;495;14423;8489;15140;14919;1044;21151.2;timeout;10;23.2;44.8;18.4;63.6;196.6;2;1;2
circuit15_2_2FAULTS_FAULTVERSION3.xlsx;48;118;3;0;24;921;14;718;14784;14;718;14784;945;15516;15516;1021.6;14228.4;timeout;12.6;26.8;61.6;19.8;38.8;96.6;2;1;2
circuit15_2_2FAULTS_FAULTVERSION4.xlsx;48;118;3;0;1;46;14;583;11720;14;583;11720;47;12317;12317;821.2;10242.8;timeout;12.4;15.8;21;17.2;20.8;27.6;3;0;2
circuit15_2_2FAULTS_FAULTVERSION5.xlsx;48;118;3;2;184;5392;16;871;17295;16;871;17295;5578;18182;18182;1085.6;13707.4;timeout;11.8;27.6;65;18;42.4;98.8;1;2;2
circuit15_2_3FAULTS_FAULTVERSION1.xlsx;48;118;3;0;295;8833;14;718;14784;14;718;14784;9128;15516;15516;1049.2;17179.8;timeout;12.4;26.6;54.2;17;40.4;97.4;2;1;3
circuit15_2_3FAULTS_FAULTVERSION2.xlsx;48;118;3;16;711;14147;16;869;17278;16;869;17278;14874;18163;18163;1032.4;13440.4;timeout;14.8;26;64.4;17.8;44.2;105.2;1;2;3
circuit15_2_3FAULTS_FAULTVERSION3.xlsx;48;118;3;0;0;timeout;15;614;12215;15;614;12215;0;12844;12844;1016.4;13180.4;timeout;13.2;16.8;21.8;17.4;23.2;30.8;3;0;3
circuit15_20_1FAULTS_FAULTVERSION1.xlsx;48;658;3;14;611;12404;16;766;15146;16;766;15146;13029;15928;15928;1621.8;31278.8;timeout;15.6;37.4;77;31.6;96.2;130;2;1;1
circuit15_20_1FAULTS_FAULTVERSION2.xlsx;48;658;3;15;629;12814;17;677;13131;17;677;13131;13458;13825;13825;1530.8;1781;8485;13.8;13.6;16.6;18.4;16.8;20;3;0;1
