File;Formulas;Input Cells;Output Cells;VBM number of diagnoses (size=1);VBM number of diagnoses (size=2);VBM number of diagnoses (size=3);FDM number of diagnoses (size=1);FDM number of diagnoses (size=2);FDM number of diagnoses (size=3);QDM number of diagnoses (size=1);QDM number of diagnoses (size=2);QDM number of diagnoses (size=3);VBM cumulated number of diagnoses (sizes 1,2, 3)  ;FDM cumulated number of diagnoses (sizes 1,2, 3)  ;QDM cumulated number of diagnoses (sizes 1,2, 3)  ;VBM time for computing min diagnoses [ms] (diagnosis size=1, avg over 5 runs);VBM time for computing min diagnoses [ms] (diagnosis size=2, avg over 5 runs);VBM time for computing min diagnoses [ms] (diagnosis size=3, avg over 5 runs);FDM time for computing min diagnoses [ms] (diagnosis size=1, avg over 5 runs);FDM time for computing min diagnoses [ms] (diagnosis size=2, avg over 5 runs);FDM time for computing min diagnoses [ms] (diagnosis size=3, avg over 5 runs);QDM time for computing min diagnoses [ms] (diagnosis size=1, avg over 5 runs);QDM time for computing min diagnoses [ms] (diagnosis size=2, avg over 5 runs);QDM time for computing min diagnoses [ms] (diagnosis size=3, avg over 5 runs);Incorrect Output cells;Correct Output cells;Faulty cells
AFW_amortization_1Faults_Fault1.xlsx;16;16;2;15;120;560;15;120;560;15;120;560;695;695;695;278.2;43.2;40.8;8.2;7.8;8.4;9;7.8;8;1;1;1,,,,,,,,,,,,,,,
AFW_amortization_2Faults_Fault1.xlsx;16;16;2;13;117;559;13;117;559;13;117;559;689;689;689;234;46.4;46;8.2;7.4;7;8;7.4;7.8;1;1;2,,,,,,,,,,,,,,,
AFW_amortization_2Faults_Fault2.xlsx;16;16;2;13;117;559;13;117;559;13;117;559;689;689;689;234.8;47;46.6;2.8;1.8;2.4;3.8;2.4;2;1;1;2,,,,,,,,,,,,,,,
AFW_amortization_2Faults_Fault3.xlsx;16;16;2;10;105;540;13;117;559;13;117;559;655;689;689;230.4;67.2;73;7.8;7.6;8;8.4;7.6;7.8;1;1;2,,,,,,,,,,,,,,,
AFW_amortization_3Faults_Fault1.xlsx;16;16;3;0;38;366;4;64;435;4;64;435;404;503;503;188.8;825;916;7.8;8.6;9.4;8;8.6;9.8;2;1;3,,,,,,,,,,,,,,,
AFW_area_2Faults_Fault1.xlsx;81;45;2;30;1965;64495;81;3240;85320;76;3230;85310;66490;88641;88616;4892.4;37769;597263;14;22;22.6;16.8;20.6;20;1;1;2,,,,,,,,,,,,,,,
AFW_area_2Faults_Fault2.xlsx;81;44;3;28;1863;61945;74;3220;85290;74;3220;85290;63836;88584;88584;4982.2;43930.8;698399;13.8;19.2;19.8;17.6;20.6;20.2;1;2;2,,,,,,,,,,,,,,,
AFW_area_2Faults_Fault3.xlsx;81;44;2;59;3009;83780;76;3230;85310;76;3230;85310;86848;88616;88616;5138.6;2033.8;9018.4;13.4;19.4;19.2;15.4;19.8;19.4;1;1;2,,,,,,,,,,,,,,,
AFW_area_3Faults_Fault1.xlsx;81;44;3;16;1268;46446;72;3204;85236;72;3204;85236;47730;88512;88512;4955.8;82797;timeout;17.8;24.2;23.2;24;28.2;28.4;1;2;3,,,,,,,,,,,,,,,
AFW_arithmetics00_1Faults_Fault1.xlsx;8;10;1;7;28;56;8;28;56;8;28;56;91;92;92;102.4;22.8;23.2;6.2;5.8;5.4;6.2;7.2;7.2;1;0;1,,,,,,,,,,,,,,,
AFW_arithmetics00_1Faults_Fault2.xlsx;8;10;2;3;20;51;5;28;56;5;28;56;74;89;89;106.8;1194789.5;timeout;8.8;8.8;8.4;10.2;9.4;9.6;1;1;1,,,,,,,,,,,,,,,
AFW_arithmetics00_1Faults_Fault3.xlsx;8;10;2;5;27;56;5;27;56;5;27;56;88;88;88;95;30.2;26.8;6.6;6.2;7;7.2;7.2;7.4;1;1;1,,,,,,,,,,,,,,,
AFW_arithmetics00_2Faults_Fault1.xlsx;8;10;2;0;15;45;1;17;46;1;17;46;60;64;64;42.8;131.2;47.6;6.2;6.2;7;5.8;6;7;2;0;2,,,,,,,,,,,,,,,
AFW_arithmetics00_2Faults_Fault2.xlsx;8;10;1;8;28;56;8;28;56;8;28;56;92;92;92;127.8;25.4;24;4.8;4.8;4.8;6.4;6.4;5.8;1;0;2,,,,,,,,,,,,,,,
AFW_arithmetics00_2Faults_Fault3.xlsx;8;11;2;4;24;55;8;28;56;5;27;56;83;92;88;98.2;170.6;timeout;8.2;8.2;8.6;12;10;9;1;1;2,,,,,,,,,,,,,,,
AFW_arithmetics00_3Faults_Fault1.xlsx;8;11;2;0;17;46;3;18;46;0;17;46;63;67;63;53.8;157.8;33.8;6.4;5.6;5.4;6.8;7.8;8.2;2;0;3,,,,,,,,,,,,,,,
AFW_arithmetics01_1Faults_Fault1.xlsx;11;9;2;1;10;45;4;49;161;4;49;161;56;214;214;32;19.2;20.2;6.4;6.4;7;8.2;7.4;7.4;1;1;1,,,,,,,,,,,,,,,
AFW_arithmetics01_1Faults_Fault2.xlsx;11;9;2;4;44;155;4;49;161;4;49;161;203;214;214;92.4;309;33.4;6.4;7.2;7;6.2;6.8;7.2;1;1;1,,,,,,,,,,,,,,,
